Station;Temperature mini;Temperature maxi;Temperature mini moy.;Temperature maxi moy.;Temperature moy.;Precipitations;Ensoleillement;
68 - Bâle Mulhouse;-0.4;29.4;7.3;21.2;14.3;17.0;251h00
69 - Lyon Bron;2.2;28.7;9.3;21.1;15.2;31.9;203h00
69 - Lyon St Exupéry;3.4;28.5;9.8;20.4;15.1;36.1;-
70 - Luxeuil St Sauveur;-0.8;27.9;6.4;19.8;13.1;63.7;189h00
71 - Macon Charnay;1.2;28.0;8.7;20.3;14.5;46.1;194h00
71 - Saint Yan;0.4;27.8;6.6;19.6;13.1;45.5;-
72 - Le Mans Arnage;3.3;29.6;8.9;19.2;14.1;60.4;153h00
73 - Bourg-Saint-Maurice;-1.6;25.4;6.3;19.2;12.8;43.7;-
73 - Chambéry Aix les Bains;0.2;27.5;7.3;21.1;14.2;42.2;173h00
74 - Annecy Meythet;-1.0;27.7;6.7;20.2;13.5;60.4;-
75 - Paris Montsouris;5.2;29.2;10.2;19.4;14.8;50.5;183h00
76 - Dieppe;5.2;26.3;8.6;15.9;12.3;95.8;-
76 - Le Havre Cap de la Hève;4.3;26.5;9.2;15.5;12.4;82.8;-
76 - Le Havre-Octeville;3.6;27.2;8.5;15.9;12.2;76.0;-
76 - Rouen Boos;0.7;27.4;7.5;17.7;12.6;64.5;148h00
77 - Melun Villaroche;3.1;29.3;7.9;19.1;13.5;64.8;171h00
78 - Toussus Le Noble;3.8;28.3;7.9;18.7;13.3;55.8;-
78 - Trappes;4.0;27.3;8.1;16.8;12.5;65.5;157h00
79 - Niort Souche;0.5;27.6;7.8;18.8;13.3;92.1;161h00
80 - Abbeville;3.7;26.4;8.3;17.0;12.7;71.3;165h00
80 - Albert Bray;2.3;25.8;7.9;17.4;12.7;43.8;-
81 - Albi Le Sequestre;2.0;28.3;8.4;20.6;14.5;53.5;190h00
82 - Montauban  Lamothe-Capdeville;2.4;28.2;8.7;20.6;14.7;63.9;193h00
83 - Cap Cepet;7.2;25.9;11.9;19.6;15.8;75.1;-
83 - Hyeres Le Palivestre;3.6;24.4;10.5;19.6;15.1;66.8;-
83 - Le Luc Le Cannet;2.5;28.7;9.0;21.7;15.4;99.9;213h00
84 - Avignon;1.8;28.6;8.9;22.4;15.7;97.4;-
84 - Carpentras;2.5;29.9;8.7;24.1;16.4;76.1;202h00
84 - Orange Caritat;1.9;28.5;9.4;21.8;15.6;104.2;-
85 - L'Ile d'Yeu - Saint Sauveur;4.8;25.0;9.8;15.9;12.9;49.0;-
85 - La Roche sur Yon Les Ajoncs;2.4;26.6;8.2;17.5;12.9;77.7;164h00
86 - Poitiers Biard;-0.4;28.3;7.9;18.9;13.4;50.1;171h00
87 - Limoges Bellegarde;0.7;26.9;8.7;17.4;13.1;112.5;149h00
89 - Auxerre / Perrigny;2.4;28.5;7.9;19.1;13.5;39.5;178h00
90 - Dorans / Belfort;-0.5;27.7;7.8;19.3;13.6;45.5;-
91 - Paris Orly;4.2;28.7;8.5;18.8;13.7;41.4;178h00
93 - Paris Le Bourget;2.4;28.3;8.7;19.0;13.9;52.7;-
95 - Paris Roissy CDG;4.4;28.6;9.4;18.8;14.1;51.2;175h00
95 - Pontoise Cormeilles Boissy-l'Aillerie;1.9;27.8;7.2;18.6;12.9;55.0;-
