Station;Temperature mini;Temperature maxi;Temperature mini moy.;Temperature maxi moy.;Temperature moy.;Precipitations;Ensoleillement;
60 - Beauvais Tillé;-1.4;13.5;4.3;9.2;6.8;100.0;28h00
60 - Creil (base aérienne);-1.3;14.5;4.6;9.4;7.0;113.9;27h00
61 - Alençon Valframbert;-1.2;13.8;5.0;9.7;7.4;112.4;28h00
62 - Boulogne sur mer;0.9;12.2;4.7;8.6;6.7;106.1;-
62 - Le Touquet / Côte d'Opale;0.1;14.2;4.8;9.3;7.1;107.8;40h00
63 - Clermont Ferrand Aulnat;-0.8;18.3;5.1;11.4;8.3;56.4;57h00
64 - Biarritz Anglet;0.2;19.2;7.0;13.0;10.0;303.3;78h00
64 - Pau Pont-Long-Uzein;-1.0;18.3;5.2;12.3;8.8;175.4;80h00
64 - Socoa;1.3;21.8;7.7;13.7;10.7;285.1;-
65 - Tarbes Ossun;-3.7;17.5;3.1;12.0;7.6;159.8;101h00
66 - Cap Béar;5.3;21.7;9.3;14.0;11.7;28.3;-
66 - Perpignan Rivesalte;-0.8;21.7;7.5;15.1;11.3;34.9;12h00
67 - Strasbourg Entzheim;-4.1;15.3;3.9;9.3;6.6;104.7;38h00
68 - Bâle Mulhouse;-3.4;15.0;3.4;9.7;6.6;93.4;52h00
69 - Lyon Bron;-0.1;17.2;5.5;11.0;8.3;100.9;56h00
69 - Lyon St Exupéry;1.6;16.3;5.5;10.5;8.0;114.2;-
70 - Luxeuil St Sauveur;-1.7;14.3;3.6;9.0;6.3;224.2;33h00
71 - Macon Charnay;-1.3;16.5;4.8;10.6;7.7;143.0;48h00
71 - Saint Yan;-2.1;16.2;4.1;10.8;7.5;122.6;-
72 - Le Mans Arnage;-0.9;15.1;5.6;10.7;8.2;91.3;32h00
73 - Bourg-Saint-Maurice;-5.0;11.7;-0.7;7.2;3.3;355.4;1h00
73 - Chambéry Aix les Bains;-2.6;16.3;3.6;9.7;6.7;201.1;45h00
74 - Annecy Meythet;-2.9;12.6;2.1;8.2;5.2;221.6;-
75 - Paris Montsouris;1.8;14.7;6.2;10.3;8.3;117.0;37h00
76 - Dieppe;0.0;14.5;5.3;9.7;7.5;112.6;-
76 - Le Havre Cap de la Hève;0.9;12.5;5.5;9.1;7.3;122.5;-
76 - Le Havre-Octeville;-0.4;12.9;5.2;9.2;7.2;115.1;-
76 - Rouen Boos;-1.8;13.5;4.0;9.0;6.5;167.0;18h00
77 - Melun Villaroche;-0.5;14.4;5.0;9.8;7.4;101.4;26h00
78 - Toussus Le Noble;-0.9;13.6;4.8;9.5;7.2;124.1;-
78 - Trappes;-0.5;13.7;5.0;9.4;7.2;126.6;33h00
