Station;Temperature mini;Temperature maxi;Temperature moy.;Precipitations;Ensoleillement;
77 - Melun Villaroche;15.5;24.6;20.0;0.6;5h00
78 - Toussus Le Noble;15.6;24.0;19.5;0.2;-
78 - Trappes;15.3;22.2;18.5;0.2;0h06
79 - Niort Souche;16.4;23.5;19.5;0.2;3h42
80 - Abbeville;15.8;19.5;17.5;0.2;-
80 - Albert Bray;15.3;21.0;18.0;0.8;-
81 - Albi Le Sequestre;15.8;23.1;19.0;7.8;0h06
82 - Montauban  Lamothe-Capdeville;16.8;24.0;20.0;1.6;0h12
83 - Cap Cepet;-;-;-;-;-
83 - Hyeres Le Palivestre;17.7;31.5;24.5;0.0;-
83 - Le Luc Le Cannet;17.6;31.6;24.5;0.0;13h42
84 - Avignon;16.7;29.3;23.0;0.0;-
84 - Carpentras;17.0;28.2;22.5;0.0;-
84 - Orange Caritat;16.2;28.3;22.0;0.0;-
85 - L'Ile d'Yeu - Saint Sauveur;16.8;21.7;19.0;0.2;-
85 - La Roche sur Yon Les Ajoncs;16.9;22.1;19.5;0.8;3h30
86 - Poitiers Biard;15.9;24.3;20.0;0.6;3h42
87 - Limoges Bellegarde;13.7;21.5;17.5;5.9;3h30
89 - Auxerre / Perrigny;14.8;25.3;20.0;0.2;4h36
90 - Dorans / Belfort;12.8;20.5;16.5;1.8;-
91 - Paris Orly;15.8;25.0;20.0;0.2;4h54
91 - Villacoublay Velizy;15.1;21.9;18.5;0.2;-
93 - Paris Le Bourget;16.3;23.4;19.5;0.2;-
95 - Paris Roissy CDG;15.7;23.5;19.5;0.6;4h48
95 - Pontoise Cormeilles Boissy-l'Aillerie;15.6;23.2;19.0;0.0;-
